gender,age,race,samerace,importance_same_race,importance_same_religion,field,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,d_intelligence_o,d_funny_o,d_shared_interests_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,d_attractive,d_sincere,d_intelligence,d_funny,d_ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,d_attractive_partner,d_sincere_partner,d_intelligence_partner,d_funny_partner,d_ambition_partner,d_shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,d_sports,d_tvsports,d_exercise,d_dining,d_museums,d_art,d_hiking,d_gaming,d_clubbing,d_reading,d_tv,d_theater,d_movies,d_concerts,d_music,d_shopping,d_yoga,interests_correlate,expected_happy_with_sd_people,expected_num_interested_in_me,expected_num_matches,like,guess_prob_liked,d_like,d_guess_prob_liked,met,decision,match,d_ambitous_o
female,21,'Asian/Pacific Islander/Asian-American',0,2,4,Law,6,8,8,8,8,6,[6-8],[6-8],[6-8],15,20,20,15,15,15,6,8,8,8,7,[6-8],[6-8],[6-8],[6-8],[6-8],6,9,7,7,6,5,[6-8],[9-10],[6-8],[6-8],[6-8],[0-5],9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,[9-10],[0-5],[6-8],[9-10],[0-5],[0-5],[0-5],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[9-10],[9-10],[6-8],[0-5],0.14,3,2,4,7,6,[6-8],[5-6],0,1,0,[6-8]
female,21,'Asian/Pacific Islander/Asian-American',0,2,4,Law,7,8,10,7,7,5,[9-10],[6-8],[0-5],15,20,20,15,15,15,6,8,8,8,7,[6-8],[6-8],[6-8],[6-8],[6-8],7,8,7,8,5,6,[6-8],[6-8],[6-8],[6-8],[0-5],[6-8],9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,[9-10],[0-5],[6-8],[9-10],[0-5],[0-5],[0-5],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[9-10],[9-10],[6-8],[0-5],0.54,3,2,4,7,5,[6-8],[5-6],1,1,0,[6-8]
female,21,'Asian/Pacific Islander/Asian-American',0,2,4,Law,7,8,9,8,9,8,[9-10],[6-8],[6-8],15,20,20,15,15,15,6,8,8,8,7,[6-8],[6-8],[6-8],[6-8],[6-8],7,6,8,7,6,8,[6-8],[6-8],[6-8],[6-8],[6-8],[6-8],9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,[9-10],[0-5],[6-8],[9-10],[0-5],[0-5],[0-5],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[9-10],[9-10],[6-8],[0-5],0.61,3,2,4,7,6,[6-8],[5-6],0,1,1,[9-10]
female,21,'Asian/Pacific Islander/Asian-American',0,2,4,Law,8,7,9,6,9,7,[9-10],[6-8],[6-8],15,20,20,15,15,15,6,8,8,8,7,[6-8],[6-8],[6-8],[6-8],[6-8],5,6,7,7,6,6,[0-5],[6-8],[6-8],[6-8],[6-8],[6-8],9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,[9-10],[0-5],[6-8],[9-10],[0-5],[0-5],[0-5],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[9-10],[9-10],[6-8],[0-5],0.21,3,2,4,6,6,[6-8],[5-6],0,1,1,[9-10]
female,21,'Asian/Pacific Islander/Asian-American',0,2,4,Law,7,7,8,8,7,7,[6-8],[6-8],[6-8],15,20,20,15,15,15,6,8,8,8,7,[6-8],[6-8],[6-8],[6-8],[6-8],4,9,7,4,6,4,[0-5],[9-10],[6-8],[0-5],[6-8],[0-5],9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,[9-10],[0-5],[6-8],[9-10],[0-5],[0-5],[0-5],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[9-10],[9-10],[6-8],[0-5],0.25,3,2,4,6,5,[6-8],[5-6],0,0,0,[6-8]
female,21,'Asian/Pacific Islander/Asian-American',0,2,4,Law,3,6,7,5,8,7,[6-8],[0-5],[6-8],15,20,20,15,15,15,6,8,8,8,7,[6-8],[6-8],[6-8],[6-8],[6-8],7,6,7,4,6,7,[6-8],[6-8],[6-8],[0-5],[6-8],[6-8],9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,[9-10],[0-5],[6-8],[9-10],[0-5],[0-5],[0-5],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[9-10],[9-10],[6-8],[0-5],0.34,3,2,4,6,5,[6-8],[5-6],0,1,0,[6-8]
female,21,'Asian/Pacific Islander/Asian-American',0,2,4,Law,7,7,8,8,8,9,[6-8],[6-8],[9-10],15,20,20,15,15,15,6,8,8,8,7,[6-8],[6-8],[6-8],[6-8],[6-8],7,6,8,9,8,8,[6-8],[6-8],[6-8],[9-10],[6-8],[6-8],9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,[9-10],[0-5],[6-8],[9-10],[0-5],[0-5],[0-5],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[9-10],[9-10],[6-8],[0-5],0.28,3,2,4,7,7,[6-8],[7-10],0,1,1,[6-8]
female,21,'Asian/Pacific Islander/Asian-American',0,2,4,Law,6,6,6,6,6,6,[6-8],[6-8],[6-8],15,20,20,15,15,15,6,8,8,8,7,[6-8],[6-8],[6-8],[6-8],[6-8],5,6,6,8,10,8,[0-5],[6-8],[6-8],[6-8],[9-10],[6-8],9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,[9-10],[0-5],[6-8],[9-10],[0-5],[0-5],[0-5],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[9-10],[9-10],[6-8],[0-5],-0.36,3,2,4,6,6,[6-8],[5-6],0,1,0,[6-8]
female,24,European/Caucasian-American,1,2,5,law,8,7,6,9,7,4,[6-8],[9-10],[0-5],45,5,25,20,0,5,7,5,10,8,3,[6-8],[0-5],[9-10],[6-8],[0-5],5,7,8,4,6,3,[0-5],[6-8],[6-8],[0-5],[6-8],[0-5],3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,[0-5],[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],0.29,4,5,3,6,4,[6-8],[0-4],0,0,0,[6-8]
female,24,European/Caucasian-American,1,2,5,law,7,6,10,6,6,5,[9-10],[6-8],[0-5],45,5,25,20,0,5,7,5,10,8,3,[6-8],[0-5],[9-10],[6-8],[0-5],8,5,6,6,9,6,[6-8],[0-5],[6-8],[6-8],[9-10],[6-8],3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,[0-5],[0-5],[6-8],[9-10],[6-8],[6-8],[0-5],[0-5],[6-8],[9-10],[0-5],[9-10],[6-8],[6-8],[6-8],[0-5],[0-5],0.18,4,5,3,7,3,[6-8],[0-4],0,0,0,[6-8]
